Conditions,flow_rate,precipitation,depth1,depth2,depth3,depth4
a,303.4422471,0,2.864,1.691,0.45,0.196
a,302.5025896,0,2.865,1.537,0.449,0.2
a,301.5358754,0,2.866,1.504,0.448,0.205
a,300.5415818,0,2.867,1.513,0.445,0.208
a,299.5201973,0,2.868,1.668,0.447,0.212
a,298.472222,0,2.869,1.52,0.447,0.214
a,297.3971666,0,2.87,1.488,0.445,0.217
a,296.2975523,0,2.871,1.496,0.442,0.22
a,295.1729101,0,2.872,1.642,0.444,0.222
a,294.0237809,0,2.873,1.5,0.444,0.224
a,292.8507142,0,2.874,1.471,0.442,0.226
a,291.6542683,0,2.875,1.477,0.438,0.227
a,290.4340099,0,2.876,1.614,0.44,0.229
a,289.1925131,0,2.878,1.479,0.44,0.23
a,287.9293593,0,2.879,1.451,0.437,0.231
a,286.6451368,0,2.88,1.458,0.434,0.232
a,285.3404401,0,2.881,1.586,0.436,0.233
a,284.0158696,0,2.883,1.458,0.435,0.234
a,282.6710309,0,2.884,1.428,0.432,0.235
a,281.3085349,0,2.886,1.436,0.429,0.236
a,279.9279964,0,2.887,1.553,0.43,0.236
a,278.5300345,0,2.888,1.433,0.429,0.237
a,277.1152717,0,2.89,1.404,0.427,0.237
a,275.6843336,0,2.891,1.413,0.423,0.238
a,274.2378481,0,2.893,1.516,0.424,0.238
a,272.7754454,0,2.894,1.408,0.423,0.238
a,271.2997573,0,2.896,1.379,0.42,0.238
a,269.8104165,0,2.897,1.388,0.417,0.238
a,268.3080568,0,2.899,1.479,0.417,0.238
a,266.7933121,0,2.9,1.38,0.416,0.238
a,265.2668158,0,2.902,1.351,0.413,0.238
a,263.7292012,0,2.903,1.361,0.409,0.238
a,262.1811,0,2.905,1.441,0.409,0.238
a,260.6221428,0,2.907,1.352,0.408,0.237
a,259.0549581,0,2.908,1.327,0.405,0.237
a,257.4791721,0,2.91,1.332,0.402,0.237
a,255.8954081,0,2.911,1.401,0.401,0.236
a,254.3042865,0,2.913,1.322,0.399,0.236
a,252.7064239,0,2.914,1.296,0.396,0.236
a,251.1024331,0,2.916,1.304,0.393,0.235
a,249.4929227,0,2.918,1.339,0.392,0.234
a,247.8784962,0,2.919,1.298,0.39,0.234
a,246.2587526,0,2.921,1.267,0.387,0.233
a,244.6362852,0,2.922,1.274,0.384,0.233
a,243.0106815,0,2.924,1.296,0.382,0.232
a,241.382523,0,2.925,1.267,0.38,0.231
a,239.752385,0,2.927,1.237,0.378,0.23
a,238.120836,0,2.928,1.242,0.375,0.23
a,236.4884373,0,2.93,1.252,0.372,0.229
a,234.8557431,0,2.931,1.236,0.37,0.228
a,233.2233,0,2.933,1.206,0.368,0.227
a,231.5916469,0,2.934,1.211,0.365,0.226
a,229.9613143,0,2.935,1.209,0.362,0.225
a,228.3318246,0,2.937,1.206,0.36,0.224
a,226.7056917,0,2.938,1.173,0.358,0.223
a,225.0824204,0,2.94,1.178,0.354,0.222
a,223.4625067,0,2.941,1.127,0.352,0.221
a,221.8464374,0,2.942,1.167,0.349,0.22
a,220.2346898,0,2.944,1.168,0.347,0.219
a,218.6277317,0,2.945,1.127,0.344,0.218
a,217.0260213,0,2.946,1.129,0.341,0.217
a,215.4300066,0,2.947,1.126,0.338,0.216
a,213.8401257,0,2.949,1.104,0.335,0.215
a,212.2568066,0,2.95,1.058,0.333,0.214
a,210.680467,0,2.951,1.117,0.33,0.212
a,209.111514,0,2.952,1.112,0.328,0.211
a,207.5493446,0,2.953,1.056,0.326,0.21
a,205.9963448,0,2.954,1.104,0.323,0.209
a,204.4518902,0,2.955,0.952,0.32,0.208
a,202.9163456,0,2.956,1.047,0.315,0.207
a,201.3900649,0,2.957,1.039,0.313,0.205
a,199.8733915,0,2.958,1.035,0.311,0.204
a,198.3666575,0,2.959,1.028,0.308,0.203
a,196.8701846,0,2.96,1.015,0.305,0.202
a,195.3842831,0,2.961,1.014,0.303,0.2
a,193.9092529,0,2.961,0.971,0.3,0.199
a,192.4453826,0,2.962,1.003,0.297,0.198
a,190.9929502,0,2.963,0.915,0.294,0.197
a,189.5522227,0,2.963,0.964,0.289,0.195
a,188.1234563,0,2.964,0.949,0.287,0.194
a,186.7068964,0,2.965,0.956,0.285,0.193
a,185.3027779,0,2.965,0.911,0.282,0.192
a,183.9103247,0,2.966,0.935,0.279,0.19
a,182.5317502,0,2.966,0.882,0.275,0.189
a,181.1662575,0,2.967,0.905,0.272,0.188
a,179.814039,0,2.967,0.886,0.269,0.186
a,178.4752768,0,2.967,0.884,0.266,0.185
