Conditions,flow_rate,precipitation,depth1,depth2,depth3,depth4
1a.1,32.2572102,0.099359086,1.296,0,0,0
1a.1,32.3171918,0.097439103,1.3,0,0,0
1a.1,32.32983401,0.095999117,1.305,0,0,0
1a.1,32.3603248,0.094079134,1.309,0,0,0
1a.1,32.365431,0.092639147,1.313,0,0,0
1a.1,32.58531744,0.091199161,1.317,0,0,0
1a.1,32.90679306,0.089759174,1.321,0,0,0
1a.1,33.23947883,0.088319187,1.324,0,0,0
1a.1,33.58337878,0.0868792,1.328,0,0,0
1a.1,33.9384776,0.085439214,1.332,0,0,0
1a.1,34.30373975,0.084479223,1.335,0,0,0
1a.1,34.68010872,0.083039236,1.339,0,0,0
1a.1,35.06750632,0.082079245,1.343,0,0,0
1a.1,35.46483188,0.080639258,1.347,0,0,0
1a.1,35.87296167,0.079679267,1.351,0,0,0
1a.1,36.29174825,0.078719276,1.355,0,0,0
1a.1,36.72001988,0.077279289,1.359,0,0,0
1a.1,37.15758005,0.076319298,1.364,0,0,0
1a.1,37.60520699,0.075359306,1.368,0,0,0
1a.1,38.06265328,0.074399315,1.373,0,0,0
1a.1,38.52864555,0.073439324,1.378,0,0,0
1a.1,39.00288421,0.072959329,1.383,0,0,0
1a.1,39.48604326,0.071999337,1.389,0,0,0
1a.1,39.97677021,0.071039346,1.394,0,0,0
1a.1,40.47568603,0.070079355,1.4,0,0,0
1a.1,40.98138524,0.069599359,1.406,0,0,0
1a.1,41.49343604,0.068639368,1.412,0,0,0
1a.1,42.01238055,0.067679377,1.419,0,0,0
1a.1,42.53573514,0.067199382,1.425,0,0,0
1a.1,43.06599083,0.06623939,1.432,0,0,0
1a.1,43.59961384,0.065759395,1.439,0,0,0
1a.1,44.13804615,0.064799404,1.446,0,0,0
1a.1,44.67970625,0.064319408,1.453,0,0,0
1a.1,45.22398988,0.063839412,1.461,0,0,0
1a.1,45.77127097,0.062879421,1.468,0,0,0
1a.1,46.31890259,0.062399426,1.476,0,0,0
1a.1,46.86821807,0.06191943,1.484,0,0,0
1a.1,47.41753209,0.061439435,1.493,0,0,0
1a.1,47.96714203,0.060479443,1.501,0,0,0
1a.1,48.51432927,0.059999448,1.51,0,0,0
1a.1,49.06036058,0.059519452,1.518,0,0,0
1a.1,49.60348972,0.059039457,1.527,0,0,0
1a.1,49.32483503,0.058559461,1.536,0,0,0
1a.1,49.59348972,0.058079465,1.545,0,0,0
1a.1,49.86222957,0,1.554,0,0,0
1a.1,50.12895893,0,1.564,0,0,0
1a.1,50.39558153,0,1.573,0,0,0
1a.1,50.66100065,0,1.582,0,0,0
1a.1,50.92511908,0,1.59,0,0,0
1a.1,51.18783923,0,1.599,0,0,0
1a.1,51.44906317,0,1.607,0,0,0
1a.1,51.70969269,0,1.616,0,0,0
1a.1,51.96762938,0,1.624,0,0,0
1a.1,52.22477462,0,1.632,0,0,0
1a.1,52.47902974,0,1.64,0,0,0
1a.1,52.73229601,0,1.648,0,0,0
1a.1,52.98347471,0,1.656,0,0,0
1a.1,53.23246724,0,1.664,0,0,0
1a.1,53.4791751,0,1.672,0,0,0
1a.1,53.72350003,0,1.679,0,0,0
1a.1,53.96534405,0,1.686,0,0,0
1a.1,54.20560949,0,1.693,0,0,0
1a.1,54.44219911,0,1.7,0,0,0
1a.1,54.67701611,0,1.707,0,0,0
1a.1,54.90796424,0,1.713,0,0,0
1a.1,55.13694784,0,1.72,0,0,0
1a.1,55.36187191,0,1.726,0,0,0
1a.1,55.58464216,0,1.732,0,0,0
1a.1,55.80416512,0,1.739,0,0,0
1a.1,56.02034813,0,1.745,0,0,0
1a.1,56.23309949,0,1.751,0,0,0
1a.1,56.44232845,0,1.756,0,0,0
1a.1,56.64794533,0,1.762,0,0,0
1a.1,56.84986154,0,1.768,0,0,0
1a.1,57.04798967,0,1.773,0,0,0
1a.1,57.24224353,0,1.779,0,0,0
1a.1,57.43253823,0,1.784,0,0,0
1a.1,57.61979026,0,1.79,0,0,0
1a.1,57.8019175,0,1.795,0,0,0
1a.1,57.97983929,0,1.8,0,0,0
1a.1,58.15447656,0,1.805,0,0,0
1a.1,58.32375177,0,1.81,0,0,0
1a.1,58.48958907,0,1.815,0,0,0
1a.1,58.6499143,0,1.82,0,0,0
1a.1,58.80665505,0,1.825,0,0,0
1a.1,58.95874076,0,1.83,0,0,0
1a.1,59.1051027,0,1.834,0,0,0
1a.1,59.24767406,0,1.839,0,0,0
1a.1,59.38539002,0,1.844,0,0,0
1a.1,59.51718776,0,1.848,0,0,0
1a.1,59.64500653,0,1.852,0,0,0
1a.1,59.76778768,0,1.856,0,0,0
1a.1,59.88547473,0,1.861,0,0,0
1a.1,59.99801338,0,1.865,0,0,0
1a.1,60.10435159,0,1.869,0,0,0
1a.1,60.20643957,0,1.872,0,0,0
1a.1,60.30322988,0,1.876,0,0,0
1a.1,60.3946774,0,1.88,0,0,0
1a.1,60.48073943,0,1.884,0,0,0
1a.1,60.56137566,0,1.887,0,0,0
1a.1,60.63654824,0,1.89,0,0,0
1a.1,60.70622182,0,1.894,0,0,0
1a.1,60.77036354,0,1.897,0,0,0
1a.1,60.82894308,0,1.9,0,0,0
1a.1,60.88293266,0,1.903,0,0,0
1a.1,60.93030711,0,1.906,0,0,0
1a.1,60.97204384,0,1.909,0,0,0
1a.1,61.00812286,0,1.912,0,0,0
1a.1,61.03852685,0,1.914,0,0,0
1a.1,61.06324111,0,1.917,0,0,0
1a.1,61.08325358,0,1.919,0,0,0
1a.1,61.09655491,0,1.922,0,0,0
1a.1,61.10413839,0,1.924,0,0,0
1a.1,61.106,0,1.926,0,0,0
