Conditions,flow_rate,precipitation,depth1,depth2,depth3,depth4
100a.1,167.4015058,0,2.94,1.452,0.253,0.003
100a.1,168.1189847,0,2.939,1.425,0.257,0.003
100a.1,168.8245938,0,2.938,1.464,0.26,0.003
100a.1,169.5160007,0,2.937,1.437,0.264,0.003
100a.1,170.1938777,0,2.936,1.477,0.267,0.003
100a.1,170.8579016,0,2.936,1.447,0.271,0.003
100a.1,171.5077544,0,2.935,1.482,0.273,0.003
100a.1,172.143123,0,2.934,1.458,0.276,0.003
100a.1,172.7637002,0,2.933,1.393,0.279,0.003
100a.1,173.3701843,0,2.932,1.365,0.282,0.003
100a.1,173.9602798,0,2.931,1.383,0.285,0.003
100a.1,174.5346973,0,2.93,1.396,0.288,0.003
100a.1,175.094154,0,2.929,1.396,0.291,0.003
100a.1,175.6363737,0,2.928,1.366,0.294,0.003
100a.1,176.1620875,0,2.927,1.322,0.297,0.003
100a.1,176.6710334,0,2.926,1.483,0.3,0.003
100a.1,177.1639569,0,2.926,1.476,0.303,0.003
100a.1,177.6386113,0,2.925,1.409,0.306,0.003
100a.1,178.0967575,0,2.924,1.396,0.308,0.003
100a.1,178.5361648,0,2.923,1.414,0.311,0.003
100a.1,178.9576105,0,2.922,1.422,0.314,0.003
100a.1,179.3618804,0,2.921,1.421,0.316,0.003
100a.1,179.7467692,0,2.921,1.36,0.318,0.003
100a.1,180.1140802,0,2.92,1.386,0.321,0.003
100a.1,180.4616257,0,2.919,1.517,0.323,0.003
100a.1,180.7912273,0,2.918,1.488,0.325,0.003
100a.1,181.1007157,0,2.918,1.423,0.328,0.003
100a.1,181.3919315,0,2.917,1.419,0.33,0.003
100a.1,181.6627245,0,2.917,1.436,0.332,0.003
100a.1,181.9149545,0,2.916,1.443,0.333,0.003
100a.1,182.1464911,0,2.915,1.432,0.335,0.003
100a.1,182.3592138,0,2.915,1.343,0.337,0.003
100a.1,182.5510125,0,2.914,1.426,0.338,0.003
100a.1,182.7237869,0,2.914,1.545,0.34,0.003
100a.1,182.8754472,0,2.913,1.484,0.342,0.003
100a.1,183.0079142,0,2.913,1.434,0.344,0.003
100a.1,183.1191187,0,2.912,1.436,0.346,0.002
100a.1,183.2110023,0,2.912,1.448,0.347,0.002
100a.1,183.2825171,0,2.912,1.451,0.349,0.002
100a.1,183.3326258,0,2.911,1.444,0.35,0.002
100a.1,183.3633017,0,2.911,1.325,0.351,0.002
100a.1,183.3725288,0,2.911,1.447,0.353,0.002
100a.1,183.3623017,0,2.91,1.556,0.354,0.002
100a.1,183.3316258,0,2.91,1.486,0.356,0.002
100a.1,183.2795171,0,2.91,1.433,0.357,0.002
100a.1,183.2080023,0,2.91,1.436,0.358,0.002
100a.1,183.1161187,0,2.91,1.449,0.359,0.002
100a.1,183.0029142,0,2.909,1.45,0.36,0.002
100a.1,182.8704472,0,2.909,1.443,0.36,0.002
