flow_rate,precipitation,depth1,depth2,depth3,depth4
20.22581473,0.06623939,1.028,0,0,0
20.53547048,0.067199382,1.029,0,0,0
20.8445222,0.068639368,1.03,0,0,0
21.15397225,0.069599359,1.032,0,0,0
21.46182299,0.071039346,1.033,0,0,0
21.77007674,0.071999337,1.035,0,0,0
22.07673582,0.073439324,1.037,0,0,0
22.38380254,0.074879311,1.04,0,0,0
22.69027919,0.076319298,1.042,0,0,0
22.99616804,0.077759284,1.045,0,0,0
23.30147137,0.079199271,1.048,0,0,0
23.60619142,0.081119253,1.051,0,0,0
23.91133043,0.08255924,1.054,0,0,0
24.21589064,0.084479223,1.058,0,0,0
24.52087424,0.086399205,1.061,0,0,0
24.82528345,0.088319187,1.065,0,0,0
25.13112045,0.090719165,1.069,0,0,0
25.43738742,0.093119143,1.073,0,0,0
25.74608652,0.095519121,1.078,0,0,0
26.0552199,0.097919099,1.082,0,0,0
26.3697897,0.100799072,1.087,0,0,0
26.68879805,0.103679046,1.092,0,0,0
27.01224706,0.107039015,1.097,0,0,0
27.34113883,0.110398984,1.102,0,0,0
27.67647546,0.113758953,1.107,0,0,0
28.02125903,0.117598918,1.113,0,0,0
28.3784916,0.121918878,1.118,0,0,0
28.75517522,0.126718834,1.124,0,0,0
29.15931195,0.13151879,1.13,0,0,0
29.59790382,0.137278737,1.136,0,0,0
30.07295284,0.143518679,1.141,0,0,0
30.57946103,0.150238617,1.147,0,0,0
31.10043039,0.157918547,1.154,0,0,0
31.6078629,0.166078472,1.16,0,0,0
32.08076055,0.175678383,1.166,0,0,0
32.5081253,0.187198277,1.173,0,0,0
32.8939591,0.199678162,1.18,0,0,0
33.2452639,0.214558025,1.187,0,0,0
33.56404164,0.232797858,1.195,0,0,0
33.85329423,0.254397659,1.202,0,0,0
34.1220236,0.280797416,1.21,0,0,0
34.37523163,0.314877102,1.218,0,0,0
34.61592024,0.359516691,1.226,0,0,0
34.84509129,0.420956126,1.234,0,0,0
35.06574666,0.5107153,1.242,0,0,0
35.28288822,0.65519397,1.25,0,0,0
35.5045178,0.92255151,1.258,0,0,0
